Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,C,22,TOR,55,23,1274,5.2,12.0,.430,0.7,2.2,.333,4.4,9.8,.451,1.6,2.8,.570,3.4,7.3,10.7,1.8,0.8,0.9,1.6,3.2,12.7
2,Steven Adams\adamsst01,C,28,MEM,62,61,1643,3.9,6.9,.555,0.0,0.0,,3.9,6.9,.555,2.1,3.7,.553,6.2,7.1,13.4,4.6,1.1,1.0,2.1,2.6,9.8
3,Bam Adebayo\adebaba01,C,24,MIA,41,41,1363,7.8,14.7,.534,0.0,0.1,.000,7.8,14.6,.539,4.7,6.3,.745,2.8,8.3,11.1,3.8,1.6,0.9,2.9,3.5,20.4
4,Santi Aldama\aldamsa01,PF,21,MEM,27,0,277,4.8,12.6,.381,0.5,5.1,.103,4.3,7.5,.569,1.6,2.6,.600,3.0,5.3,8.3,1.8,0.3,0.9,1.2,3.5,11.7
5,LaMarcus Aldridge\aldrila01,C,36,BRK,45,12,1027,8.8,15.9,.554,0.5,1.6,.311,8.3,14.4,.580,3.1,3.6,.873,2.5,6.3,8.8,1.4,0.5,1.6,1.5,2.6,21.3
6,Nickeil Alexander-Walker\alexani01,SG,23,TOT,54,19,1335,6.4,17.2,.375,2.6,8.3,.312,3.9,8.9,.435,2.0,2.7,.733,1.0,3.5,4.5,3.8,1.1,0.5,2.3,2.4,17.5
7,Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,19,1317,6.5,17.3,.375,2.6,8.3,.311,3.9,8.9,.434,1.9,2.7,.722,1.0,3.5,4.5,3.8,1.1,0.5,2.3,2.4,17.5
8,Nickeil Alexander-Walker\alexani01,SG,23,UTA,4,0,18,4.0,10.0,.400,2.0,6.0,.333,2.0,4.0,.500,8.0,8.0,1.000,2.0,6.0,8.0,2.0,0.0,0.0,2.0,2.0,18.0
9,Grayson Allen\allengr01,SG,26,MIL,54,53,1498,5.1,11.8,.431,3.2,8.1,.394,1.9,3.7,.510,1.3,1.5,.857,0.6,3.7,4.3,2.0,1.0,0.4,0.7,1.9,14.6
10,Jarrett Allen\allenja01,C,23,CLE,56,56,1809,7.3,10.8,.677,0.0,0.2,.100,7.3,10.6,.688,3.3,4.6,.708,3.8,8.2,12.0,1.8,0.9,1.5,1.9,1.9,18.0
